epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,186.578,1.01181,1.34033,1.1378,0.57104,0.495,0.50567,0.3421,1.01031,1.1856,1.08413,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
44,190.903,0.98901,1.30433,1.12636,0.51931,0.44033,0.50542,0.33798,1.01494,1.18229,1.09335,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743
45,195.178,0.9973,1.32561,1.13357,0.51421,0.48157,0.51588,0.34483,1.01814,1.16878,1.09334,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
46,199.458,0.95764,1.26931,1.11434,0.50338,0.46222,0.51161,0.33827,1.02068,1.17205,1.09688,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
47,203.744,0.9545,1.25968,1.11176,0.57398,0.47563,0.51657,0.33692,1.02786,1.18777,1.09562,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
48,208.14,0.99974,1.26541,1.11738,0.58154,0.48185,0.51191,0.33443,1.0131,1.16471,1.09314,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347
49,212.37,0.99929,1.27785,1.11505,0.56997,0.49515,0.51484,0.33449,1.00972,1.1581,1.08616,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
50,216.566,0.99834,1.31106,1.12764,0.61494,0.45812,0.51769,0.34963,1.01167,1.16662,1.08541,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149
51,220.711,0.9955,1.30233,1.12279,0.6291,0.45045,0.51105,0.34081,1.00883,1.17714,1.08434,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
52,224.829,0.97079,1.29856,1.12523,0.58129,0.48553,0.52779,0.35306,0.99997,1.14982,1.07994,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951
